client_id,amount,transaction_type,country,latitude,longitude,timestamp
C00049,823.8,virement,ES,-88.85794,-67.323199,2025-06-02 02:18:04
C00183,4814.12,achat,FR,-1.112476,170.503861,2025-06-16 12:45:04
C00097,3338.83,versement,IT,-55.722362,-76.764936,2025-06-16 06:25:04
C00028,3956.08,virement,JP,18.477242,145.283698,2025-06-04 13:53:04
C00041,1130.4,virement,ES,-19.063458,39.317616,2025-06-10 02:16:04
C00106,35.09,versement,FR,31.953386,75.57875,2025-06-12 22:41:04
C00173,3101.33,versement,US,-16.411491,145.695541,2025-05-29 00:18:04
C00100,2149.07,paiement,CN,67.785883,7.812871,2025-06-02 20:18:04
C00041,3711.49,paiement,DE,-79.493082,-84.206718,2025-05-18 08:16:04
C00095,546.89,virement,JP,-51.616558,-81.553046,2025-05-31 08:31:04
C00190,4132.24,paiement,CN,-81.141565,45.787731,2025-06-13 13:06:04
C00063,1696.93,versement,DE,49.584629,166.961189,2025-06-06 18:01:04
C00001,4360.24,paiement,US,27.943533,-160.545759,2025-06-11 20:28:04
C00119,4056.0,paiement,ES,36.92917,-7.195011,2025-06-16 10:00:04
C00063,98.97,versement,ES,57.337831,-140.761012,2025-05-24 20:09:04
C00153,1776.42,versement,IT,-88.490863,173.421566,2025-05-28 07:31:04
C00153,3535.65,virement,IT,-21.182312,-2.321791,2025-05-18 17:33:04
C00115,2489.67,paiement,ES,-6.221874,-26.136514,2025-05-23 00:26:04
C00004,1022.08,versement,IT,3.104552,0.827417,2025-05-24 14:15:04
C00078,2220.2,paiement,CN,-24.208881,126.440658,2025-06-15 15:19:04
C00050,709.87,paiement,UK,-44.168413,-41.543099,2025-06-14 21:02:04
C00080,3305.76,achat,DE,12.420023,51.818843,2025-06-06 01:20:04
C00063,2796.65,achat,DE,19.432496,-110.756238,2025-05-28 21:58:04
C00105,3025.04,versement,UK,-76.810942,16.455003,2025-06-08 22:16:04
C00154,2152.54,virement,DE,28.794532,141.37954,2025-05-24 20:35:04
C00183,4992.27,retrait,FR,-80.76608,31.548036,2025-06-15 15:31:04
C00154,717.02,retrait,IT,6.852516,18.793035,2025-05-25 17:43:04
C00013,1866.3,retrait,IT,-57.49417,-142.317518,2025-05-28 01:08:04
C00161,87.72,paiement,ES,-24.422257,-66.980378,2025-05-26 13:12:04
C00010,4926.67,paiement,IT,45.834851,-101.410834,2025-06-14 01:58:04
C00143,515.27,versement,UK,2.951696,-153.621721,2025-06-01 23:53:04
C00151,2037.82,paiement,JP,44.79453,149.867297,2025-06-04 23:18:04
