product_id,date,sales,price,promotion,stock
101,2023-01-01,24,22.28,10,57
101,2023-01-02,26,24.76,0,31
101,2023-01-03,15,24.76,0,16
101,2023-01-04,0,24.76,0,0
101,2023-01-05,0,23.52,5,0
101,2023-01-06,0,24.76,0,0
101,2023-01-07,0,24.76,0,0
101,2023-01-08,0,24.76,0,0
101,2023-01-09,0,22.28,10,0
101,2023-01-10,0,24.76,0,0
101,2023-01-11,11,24.76,0,22
101,2023-01-12,18,24.76,0,4
101,2023-01-13,0,24.76,0,0
101,2023-01-14,0,24.76,0,0
101,2023-01-15,0,24.76,0,0
101,2023-01-16,0,23.52,5,0
101,2023-01-17,0,24.76,0,0
101,2023-01-18,0,24.76,0,0
101,2023-01-19,16,24.76,0,14
101,2023-01-20,0,24.76,0,0
101,2023-01-21,0,24.76,0,0
101,2023-01-22,0,21.05,15,0
101,2023-01-23,0,24.76,0,0
101,2023-01-24,0,19.81,20,0
101,2023-01-25,0,23.52,5,0
101,2023-01-26,0,24.76,0,0
101,2023-01-27,0,22.28,10,0
101,2023-01-28,0,24.76,0,0
101,2023-01-29,0,23.52,5,0
101,2023-01-30,0,24.76,0,0
101,2023-01-31,0,23.52,5,0
101,2023-02-01,0,23.52,5,0
101,2023-02-02,0,24.76,0,0
101,2023-02-03,0,24.76,0,0
101,2023-02-04,0,22.28,10,0
101,2023-02-05,0,23.52,5,0
101,2023-02-06,0,23.52,5,0
101,2023-02-07,0,24.76,0,0
101,2023-02-08,0,24.76,0,0
101,2023-02-09,0,22.28,10,0
101,2023-02-10,0,21.05,15,0
101,2023-02-11,0,24.76,0,0
101,2023-02-12,0,24.76,0,0
101,2023-02-13,0,21.05,15,0
101,2023-02-14,0,24.76,0,0
101,2023-02-15,0,23.52,5,0
101,2023-02-16,0,24.76,0,0
101,2023-02-17,20,24.76,0,9
101,2023-02-18,0,24.76,0,0
101,2023-02-19,0,24.76,0,0
101,2023-02-20,0,23.52,5,0
